search_id,categorical_1,categorical_2,categorical_3,categorical_4,categorical_5,categorical_6,categorical_7,categorical_8,categorical_9,categorical_10,categorical_11,categorical_12,categorical_13,categorical_14,categorical_15,categorical_16,numerical_1,numerical_2,numerical_3,numerical_4,numerical_5,numerical_6,numerical_7,numerical_8,numerical_9,numerical_10,numerical_11,numerical_12,numerical_13,numerical_14,numerical_15,numerical_16,numerical_17,numerical_18,numerical_19,numerical_20,numerical_21,numerical_22,numerical_23,numerical_24,numerical_25,numerical_26,numerical_27,numerical_28,numerical_29,numerical_30,numerical_31,numerical_32,numerical_33,numerical_34,numerical_35,numerical_36,numerical_37,numerical_38,numerical_39,numerical_40,numerical_41,numerical_42,numerical_43,numerical_44,numerical_45,numerical_46,numerical_47,numerical_48,numerical_49,numerical_50,numerical_51,numerical_52,numerical_53,numerical_54,numerical_55,numerical_56,numerical_57,numerical_58,numerical_59,numerical_60,numerical_61,numerical_62,numerical_63,click,conversion
363,7,0,0,1,18,4,34,0,3,1,1,1,0,0,0,0,1.0,0.083333,0.0,0.5,0.75,0.25,0.75,1.0,0.30515,0.1603,0.1119,0.0828,0.0942,0.05585,0.0519,0.03905,0.02945,0.05425,0.38385,0.3385,0.0,0.27948,0.37089,0.166091,0.313882,0.249136,0.2312719999999999,0.61,0.33,0.0440399999999999,0.637215,0.008202,0.128348,0.662497,0.648288,0.06077,0.022775,0.422543,0.499223,0.8315600000000001,0.464592,0.008041,0.0203479999999999,1.0,0.0,0.2,0.4293189999999999,0.45302,0.19794,0.59969,0.569429,0.496983,0.4980529999999999,0.4536,0.225194,0.2804,0.063144,0,0,0,0.4078,0.0,0.0,0,0
12,7,0,0,0,7,4,31,4,0,0,1,0,0,0,0,0,0.666667,1.0,0.333333,0.5,0.5,0.0,0.0,1.0,0.24274,0.13384,0.11709,0.10783,0.0797399999999999,0.0697899999999999,0.06826,0.05696,0.05302,0.05559,0.34378,0.2132,0.0,0.09741,0.34793,0.220433,0.263305,0.394269,0.338692,0.54,0.5,0.02428,0.8792040000000001,0.0074959999999999,0.493227,0.51931,0.758396,0.044132,0.022887,0.548068,0.897164,0.897164,0.792142,0.0,0.0,0.0,0.0,0.0,0.806288,0.35064,0.26478,0.50761,0.945743,0.774034,0.910372,0.2634,0.399173,0.6434270000000001,0.256839,0,0,0,1.0,0.6008020000000001,0.8298190000000001,0,0
262,7,0,0,0,7,4,25,0,5,1,1,1,1,0,1,0,0.428571,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.175325,0.14515,0.10665,0.1075,0.091025,0.0842,0.06995,0.05915,0.06895,0.076975,0.5062300000000001,0.61237,0.0,0.0,0.41902,0.0,0.0,0.0,0.0,0.54,0.51,0.8062199999999999,0.0,0.0,0.0,0.538004,0.240023,0.05076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553724,0.4297899999999999,0.0814,0.249032,0.136052,0.033881,0,0,0,0.0,0.0,0.0,0,0
395,7,0,5,0,7,4,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25649,0.24944,0.0,0.73602,0.0,0.0,0.0,0.0,0.121164,0.0,0.18,0.2303199999999999,0.675108,0.024619,0.009831,0.509883,0.290965,0.035456,0.022771,0.181198,0.179565,0.4799739999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.127873,0.26303,0.0644899999999999,0.26608,0.0,0.177126,0.054912,0.0,0.195079,0.297538,0.058043,0,0,0,0.0367399999999999,0.0,0.0,0,0
67,7,0,4,0,7,4,30,0,1,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387,0.127333,0.0725667,0.0648,0.0524666999999999,0.0681333,0.0401333,0.0429,0.0297332999999999,0.0708333,0.23792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.12,0.5320699999999999,0.0,0.0,0.0,0.458642,0.283703,0.031594,0.0,0.199226,0.189218,0.498631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33145,0.07139,0.31604,0.256478,0.06168,0.139812,0.0474,0.119381,0.5902649999999999,0.070466,0,0,0,0.0,0.0,0.0,0,0
407,7,0,0,0,7,4,29,0,3,1,0,0,0,0,1,0,0.0,1.0,0.0,0.166667,1.0,0.0,0.333333,0.166667,0.11218,0.10417,0.10019,0.08102,0.08882,0.09846,0.09405,0.09686,0.09996,0.10912,0.0,0.0,0.0,0.0,0.0,0.253963,0.172005,0.27305,0.4833699999999999,0.56,0.25,0.72382,0.7251890000000001,0.064374,0.161799,0.4556449999999999,0.676453,0.0618279999999999,0.022944,0.0,0.0,0.0,0.0,0.0,0.0071189999999999,0.9,0.0,0.0,0.877531,0.0,0.0,0.0,0.043573,0.640158,0.594688,0.1001,0.145362,0.4555109999999999,0.066214,0,0,0,0.62716,0.0,0.0,0,0
227,7,0,0,0,7,4,28,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1229,0.0981,0.0862,0.0795,0.075,0.0888,0.0986,0.1045,0.1027,0.1285,0.15019,0.0,0.0,0.88789,0.0,0.0,0.0,0.0,0.0,0.73,0.33,0.21074,0.0,0.0,0.0,0.541938,0.296331,0.057223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783659,0.419896,0.0,0.364161,0.551195,0.200724,0,0,0,0.0,0.0,0.0,0,0
293,7,0,0,0,7,4,29,3,2,0,1,1,0,0,1,0,0.428571,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.20878,0.13174,0.07098,0.119,0.08044,0.0758,0.0689,0.06796,0.0797,0.0816,0.47186,0.42366,0.47673,0.97597,0.16619,0.091335,0.0,0.1370019999999999,0.09535,0.65,0.6,0.02135,0.792136,0.006644,0.061116,0.591584,0.565768,0.041264,0.022862,0.27094,0.323943,0.628868,0.38215,0.0,0.020133,1.0,0.0,0.0,0.4406899999999999,0.24045,0.0744,0.31782,0.4644109999999999,0.3083889999999999,0.476038,0.0437,0.189114,0.978686,0.185083,0,0,0,0.3631,0.253268,0.301014,0,0
257,7,0,0,1,18,4,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24229,0.27735,0.44721,0.97541,0.0,0.0,0.0,0.0,0.12279,0.7,0.41,0.40139,0.67695,0.0,0.0,0.463001,0.444833,0.034416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151675,0.0,0.0,0.0,0.0,0.249506,0.231735,0.0,0.14851,0.6552979999999999,0.097319,0,0,0,0.0367399999999999,0.0,0.0,0,0
110,7,0,0,1,18,4,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36843,0.4382399999999999,0.55902,0.37043,0.36269,0.083412,0.0,0.130682,0.062165,0.68,0.47,0.1829599999999999,0.669894,0.001076,0.0435399999999999,0.461408,0.4306609999999999,0.037263,0.022775,0.183392,0.202243,0.501261,0.327478,0.0,0.0,0.0,0.0,0.0,0.415327,0.16219,0.0389,0.19093,0.018751,0.275812,0.532198,0.0,0.23913,0.6231899999999999,0.149023,0,0,0,0.3631,0.226404,0.402364,0,0
